UP.DAT          2.1             Hour Start and End Times with Seconds                           
   3
Produced by UAMAKE Version: 1.53  Level: 090411                                 
Last M3D File Processed: 201601.m3d
Extraction Cell:   41,  28
NONE    
UTC+0000
  2015  365   23    0 2016    4   23    0 300.    2    2
     F    F    F    F
   9999  12345       2015  12 31 24    0    2015  12 31 24    0   34      22                                                    
    543.0,5222.,273.1,232,  7.5,    531.0,5402.,271.8,239,  6.9,    519.0,5592.,270.6,247,  6.4,    506.0,5790.,269.3,252,  5.9,
    493.0,5996.,267.8,255,  5.8,    479.0,6213.,266.2,254,  6.5,    465.0,6447.,264.6,256,  7.1,    449.0,6711.,263.2,263,  6.5,
    432.0,7018.,261.8,284,  4.9,    412.0,7382.,259.3,323,  3.7,    389.0,7820.,255.7,314,  4.0,    362.0,8351.,252.4,285,  3.9,
    332.0,8993.,248.2,309,  4.6,    298.0,9768.,241.8,279,  7.0                                                                 
   9999  12345       2016   1  1  6    0    2016   1  1  6    0   34      22                                                    
    604.0,4368.,276.0, 45,  2.1,    600.0,4419.,276.8,335,  1.6,    595.0,4484.,276.5,299,  1.1,    590.0,4563.,276.1,262,  1.3,
    583.0,4659.,275.6,244,  2.7,    574.0,4772.,275.2,239,  5.1,    565.0,4905.,274.7,236,  7.3,    555.0,5055.,274.1,230,  8.0,
    543.0,5222.,272.8,225,  7.4,    531.0,5402.,271.4,226,  6.6,    519.0,5591.,270.0,239,  5.8,    506.0,5789.,268.8,248,  5.6,
    493.0,5995.,267.5,252,  6.7,    479.0,6211.,266.1,254,  7.8,    465.0,6446.,264.6,255,  8.0,    449.0,6710.,263.2,263,  7.3,
    432.0,7016.,261.8,282,  6.9,    412.0,7381.,259.6,294,  5.6,    389.0,7820.,256.0,307,  3.6,    362.0,8350.,252.4,330,  5.0,
    332.0,8992.,247.5,336,  6.4,    298.0,9766.,241.8,270,  7.9                                                                 
   9999  12345       2016   1  1  7    0    2016   1  1  7    0   34      22                                                    
    604.0,4368.,276.9,224,  0.5,    600.0,4419.,277.3,268,  2.4,    595.0,4484.,276.9,268,  2.9,    589.0,4563.,276.6,259,  4.2,
    583.0,4659.,276.1,250,  5.4,    574.0,4773.,275.6,242,  6.3,    565.0,4905.,275.0,235,  6.9,    555.0,5056.,274.1,229,  6.9,
    543.0,5222.,272.8,224,  6.1,    531.0,5402.,271.3,224,  5.2,    519.0,5591.,269.7,230,  4.5,    506.0,5789.,268.3,250,  4.9,
    493.0,5994.,267.2,259,  6.0,    479.0,6210.,266.0,257,  7.1,    465.0,6445.,264.9,257,  6.9,    449.0,6709.,263.5,267,  6.0,
    432.0,7015.,261.5,281,  6.6,    412.0,7380.,259.0,282,  7.4,    389.0,7818.,255.7,279,  3.7,    362.0,8348.,252.1,  2,  6.3,
    332.0,8990.,247.3,353,  6.8,    298.0,9763.,241.6,270,  8.8                                                                 
   9999  12345       2016   1  1  8    0    2016   1  1  8    0   34      22                                                    
    604.0,4367.,275.9, 54,  2.5,    600.0,4419.,276.8, 17,  2.7,    595.0,4484.,276.7,356,  2.2,    590.0,4563.,276.3,308,  2.2,
    583.0,4658.,275.9,273,  3.6,    574.0,4772.,275.4,258,  5.5,    565.0,4905.,274.6,247,  6.7,    555.0,5055.,273.7,237,  6.8,
